name,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,10/31/2008
		OtherNonCurrentAssets,"1,300,000,000","1,300,000,000","1,246,000,000","1,342,000,000","1,344,000,000","743,000,000","693,000,000","735,000,000","682,000,000","707,000,000","464,000,000","488,000,000","507,000,000","458,000,000","457,000,000","897,000,000","854,000,000","532,000,000","528,000,000","514,000,000","527,000,000","406,000,000","229,000,000","236,000,000","289,000,000","285,000,000","328,000,000","73,000,000","70,000,000","53,000,000","36,000,000","66,000,000","67,000,000","66,000,000","60,000,000","63,000,000","61,000,000","61,000,000","52,000,000","49,000,000","48,000,000","44,000,000","16,000,000","16,000,000","23,000,000","24,000,000","50,000,000","58,000,000","63,000,000"
TotalLiabilitiesNetMinorityInterest,"52,973,000,000","52,032,000,000","55,713,000,000","57,578,000,000","56,610,000,000","42,523,000,000","48,264,000,000","48,744,000,000","48,886,000,000","23,467,000,000","22,920,000,000","22,869,000,000","25,463,000,000","31,232,000,000","27,238,000,000","27,506,000,000","27,607,000,000","28,090,000,000","27,248,000,000","28,645,000,000","5,656,000,000","5,878,000,000","5,707,000,000","6,471,000,000","7,069,000,000","7,248,000,000","7,164,000,000","517,000,000","480,000,000","529,000,000","478,000,000","428,000,000","374,000,000","443,000,000","426,000,000","444,000,000","404,000,000","440,000,000","403,000,000","386,000,000","327,000,000","652,000,000","587,000,000","582,000,000","545,000,000","930,000,000","1,017,000,000","1,047,000,000","1,091,000,000"
	CurrentLiabilities,"6,694,000,000","6,371,000,000","6,702,000,000","6,601,000,000","7,739,000,000","6,899,000,000","8,282,000,000","8,503,000,000","8,349,000,000","2,338,000,000","2,187,000,000","2,124,000,000","1,970,000,000","2,529,000,000","2,218,000,000","2,052,000,000","2,122,000,000","3,078,000,000","2,728,000,000","2,651,000,000","862,000,000","1,119,000,000","952,000,000","906,000,000","845,000,000","1,016,000,000","940,000,000","416,000,000","364,000,000","423,000,000","380,000,000","330,000,000","277,000,000","346,000,000","342,000,000","356,000,000","314,000,000","350,000,000","311,000,000","296,000,000","237,000,000","565,000,000","285,000,000","281,000,000","248,000,000","633,000,000","251,000,000","282,000,000","328,000,000"
		PayablesAndAccruedExpenses,"1,460,000,000","1,276,000,000","1,479,000,000","1,230,000,000","985,000,000","1,393,000,000","1,260,000,000","1,049,000,000","1,394,000,000","1,299,000,000","1,008,000,000","836,000,000","816,000,000","1,488,000,000","1,158,000,000","925,000,000","1,047,000,000","1,261,000,000","1,127,000,000","985,000,000","523,000,000","696,000,000","501,000,000","501,000,000","452,000,000","572,000,000","459,000,000","274,000,000","257,000,000","308,000,000","266,000,000","240,000,000","196,000,000","269,000,000","239,000,000","257,000,000","222,000,000","249,000,000","196,000,000","268,000,000","207,000,000","292,000,000","246,000,000","181,000,000","165,000,000","179,000,000","165,000,000","197,000,000","206,000,000"
			Payables,"1,460,000,000","1,276,000,000","1,479,000,000","1,230,000,000","985,000,000","1,084,000,000","1,260,000,000","1,049,000,000","1,394,000,000","973,000,000","845,000,000","836,000,000","816,000,000","1,228,000,000","1,158,000,000","925,000,000","1,047,000,000","1,261,000,000","1,127,000,000","985,000,000","523,000,000","696,000,000","501,000,000","501,000,000","452,000,000","572,000,000","459,000,000","274,000,000","257,000,000","303,000,000","266,000,000","240,000,000","196,000,000","264,000,000","239,000,000","257,000,000","222,000,000","231,000,000","196,000,000","206,000,000","156,000,000","198,000,000","172,000,000","169,000,000","160,000,000","154,000,000","152,000,000","167,000,000","174,000,000"
				AccountsPayable,"898,000,000","836,000,000","1,092,000,000","1,230,000,000","985,000,000","855,000,000","996,000,000","759,000,000","738,000,000","811,000,000","785,000,000","836,000,000","816,000,000","1,105,000,000","1,158,000,000","925,000,000","1,047,000,000","1,261,000,000","1,127,000,000","985,000,000","523,000,000","617,000,000","501,000,000","501,000,000","452,000,000","515,000,000","459,000,000","274,000,000","257,000,000","278,000,000","266,000,000","240,000,000","196,000,000","248,000,000","239,000,000","257,000,000","222,000,000","221,000,000","196,000,000","206,000,000","156,000,000","198,000,000","172,000,000","169,000,000","160,000,000","154,000,000","152,000,000","167,000,000","174,000,000"
				TotalTaxPayable,"562,000,000","440,000,000","387,000,000",,,"229,000,000","264,000,000","290,000,000","656,000,000","162,000,000","60,000,000",,,"123,000,000",,,,,,,,"79,000,000",,,,"57,000,000",,,,"15,000,000",,,,"16,000,000",,,,"10,000,000",,,,,,,,,,,
				DividendsPayable,,,,,,"29,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000",,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,,,,,,"309,000,000",,,,"326,000,000","163,000,000",,,"260,000,000",,,,,,,,,,,,,,,,"5,000,000",,,,"5,000,000",,,,"18,000,000","0","62,000,000","51,000,000","94,000,000","74,000,000","12,000,000","5,000,000","25,000,000","13,000,000","30,000,000","32,000,000"
				InterestPayable,,,,,,"214,000,000",,,,"165,000,000",,,,"136,000,000",,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","12,000,000","5,000,000","12,000,000","5,000,000","25,000,000","13,000,000","30,000,000","32,000,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"494,000,000","877,000,000","732,000,000","494,000,000","435,000,000","641,000,000","575,000,000","478,000,000","463,000,000","715,000,000","622,000,000","417,000,000","333,000,000","626,000,000","546,000,000","464,000,000","336,000,000","517,000,000","424,000,000","303,000,000","101,000,000","250,000,000","230,000,000","181,000,000","132,000,000","219,000,000","207,000,000","86,000,000","59,000,000","98,000,000","80,000,000","59,000,000","48,000,000","61,000,000","69,000,000","57,000,000","51,000,000","89,000,000","88,000,000",,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"864,000,000","827,000,000","922,000,000","819,000,000","2,311,000,000","2,787,000,000","3,537,000,000","3,537,000,000","3,537,000,000",,"117,000,000","117,000,000","117,000,000","117,000,000",,,,"454,000,000","334,000,000","344,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000",,"1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","232,000,000","2,000,000","2,000,000","3,000,000","366,000,000","2,000,000","2,000,000","2,000,000"
			CurrentDebt,"864,000,000","827,000,000","807,000,000","819,000,000","2,311,000,000","2,787,000,000","3,537,000,000","3,537,000,000","3,537,000,000",,"117,000,000","117,000,000","117,000,000","117,000,000",,,,"454,000,000","334,000,000","344,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000","46,000,000",,,,,,,,,,,,,,,"230,000,000",,,,"364,000,000",,,
				OtherCurrentBorrowings,,,"807,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230,000,000",,,,"364,000,000",,,
			CurrentCapitalLeaseObligation,,,"115,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","2,000,000"
		CurrentDeferredLiabilities,"3,098,000,000","2,620,000,000","2,793,000,000","3,065,000,000","2,880,000,000","1,501,000,000","1,872,000,000","2,028,000,000","1,692,000,000","164,000,000","183,000,000",,,,,,,,,,,,,,,,,,,"11,000,000",,,,"8,000,000",,,,"10,000,000",,,,,,,,,,,
			CurrentDeferredRevenue,"3,098,000,000","2,620,000,000","2,793,000,000","3,065,000,000","2,880,000,000","1,501,000,000","1,872,000,000","2,028,000,000","1,692,000,000","164,000,000","183,000,000",,,,,,,,,,,,,,,,,,,"11,000,000",,,,"8,000,000",,,,"10,000,000",,,,,,,,,,,
		OtherCurrentLiabilities,"778,000,000","771,000,000","776,000,000","993,000,000","1,128,000,000","577,000,000","1,038,000,000","1,411,000,000","1,263,000,000","160,000,000","257,000,000","754,000,000","704,000,000","298,000,000","514,000,000","663,000,000","739,000,000","846,000,000","843,000,000","1,019,000,000","192,000,000","127,000,000","175,000,000","178,000,000","215,000,000","179,000,000","228,000,000","56,000,000","47,000,000","5,000,000","32,000,000","30,000,000","32,000,000","7,000,000","33,000,000","41,000,000","39,000,000",,"25,000,000","26,000,000","28,000,000","41,000,000","37,000,000","98,000,000","80,000,000","88,000,000","84,000,000","83,000,000","120,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"46,279,000,000","45,661,000,000","49,011,000,000","50,977,000,000","48,871,000,000","35,624,000,000","39,982,000,000","40,241,000,000","40,537,000,000","21,129,000,000","20,733,000,000","20,745,000,000","23,493,000,000","28,703,000,000","25,020,000,000","25,454,000,000","25,485,000,000","25,012,000,000","24,520,000,000","25,994,000,000","4,794,000,000","4,759,000,000","4,755,000,000","5,565,000,000","6,224,000,000","6,232,000,000","6,224,000,000","101,000,000","116,000,000","106,000,000","98,000,000","98,000,000","97,000,000","97,000,000","84,000,000","88,000,000","90,000,000","90,000,000","92,000,000","90,000,000","90,000,000","87,000,000","302,000,000","301,000,000","297,000,000","297,000,000","766,000,000","765,000,000","763,000,000"
		LongTermDebtAndCapitalLeaseObligation,"41,068,000,000","40,235,000,000","43,201,000,000","45,044,000,000","42,407,000,000","30,011,000,000","34,028,000,000","34,011,000,000","34,104,000,000","17,493,000,000","17,487,000,000","17,481,000,000","17,475,000,000","17,431,000,000","13,572,000,000","13,567,000,000","13,562,000,000","13,188,000,000","13,381,000,000","14,664,000,000","3,892,000,000","3,903,000,000","3,915,000,000","4,852,000,000","5,454,000,000","5,463,000,000","5,472,000,000",,"1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","4,000,000","4,000,000","4,000,000","5,000,000","4,000,000","234,000,000","234,000,000","232,000,000","233,000,000","703,000,000","704,000,000","708,000,000"
			LongTermDebt,"41,068,000,000","40,235,000,000","42,603,000,000","45,044,000,000","42,407,000,000","30,011,000,000","34,028,000,000","34,011,000,000","34,104,000,000","17,493,000,000","17,487,000,000","17,481,000,000","17,475,000,000","17,431,000,000","13,572,000,000","13,567,000,000","13,562,000,000","13,188,000,000","13,381,000,000","14,664,000,000","3,892,000,000","3,903,000,000","3,915,000,000","4,852,000,000","5,454,000,000","5,463,000,000","5,472,000,000",,,,,,,,,,,,,,,,"230,000,000","230,000,000","230,000,000","230,000,000","700,000,000","700,000,000","703,000,000"
			LongTermCapitalLeaseObligation,,,"598,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","4,000,000","4,000,000","4,000,000","5,000,000","4,000,000","4,000,000","4,000,000","2,000,000","3,000,000","3,000,000","4,000,000","5,000,000"
		NonCurrentDeferredLiabilities,"735,000,000","823,000,000","670,000,000","711,000,000","788,000,000",,"2,057,000,000","2,313,000,000","2,593,000,000","169,000,000","178,000,000","266,000,000","1,243,000,000","10,019,000,000","9,859,000,000","10,239,000,000","10,274,000,000","10,287,000,000","9,614,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
